id,created_at,favorite_count,retweet_count,sentiment
1457517071642808333,2021-11-08 01:15:23+00:00,6331,263,0.0
1457499763058876421,2021-11-08 00:06:37+00:00,3645,171,0.0
1457497438474981384,2021-11-07 23:57:22+00:00,88289,10253,0.0
1457488151744860160,2021-11-07 23:20:28+00:00,12137,908,0.625
1457480025830219778,2021-11-07 22:48:11+00:00,12986,473,0.25
1457460210428153866,2021-11-07 21:29:27+00:00,3463,126,0.0
1457429209891155973,2021-11-07 19:26:16+00:00,6969,394,0.0
1457428403754307586,2021-11-07 19:23:03+00:00,17776,1271,0.5
1457417472504745990,2021-11-07 18:39:37+00:00,2568,167,0.06111111111111111
1457416447790129166,2021-11-07 18:35:33+00:00,1809,87,0.0
1457091338424438789,2021-11-06 21:03:41+00:00,25246,626,0.0
1457083243933601802,2021-11-06 20:31:31+00:00,7543,346,0.0
1457076751360724995,2021-11-06 20:05:43+00:00,47000,3748,0.0
1457067904583798784,2021-11-06 19:30:34+00:00,36982,1541,0.0
1457067398712942592,2021-11-06 19:28:33+00:00,99275,5062,0.0
1457066048944066565,2021-11-06 19:23:11+00:00,83549,3957,0.0
1457065864935714816,2021-11-06 19:22:27+00:00,1641,77,0.0
1457064697782489088,2021-11-06 19:17:49+00:00,137696,24764,-0.04999999999999999
1457060974167474176,2021-11-06 19:03:01+00:00,12768,785,0.1
1456796712392081410,2021-11-06 01:32:56+00:00,35048,1309,0.284375
1456796062593781761,2021-11-06 01:30:21+00:00,9335,552,0.33999999999999997
1456633987808563207,2021-11-05 14:46:20+00:00,4338,226,0.0
1457745160520019976,2021-11-08 16:21:44+00:00,4000,520,0.0
1457375316003880963,2021-11-07 15:52:06+00:00,13131,1546,0.0
1457306807605600265,2021-11-07 11:19:53+00:00,9686,1063,0.0
1454088171474489357,2021-10-29 14:10:10+00:00,44875,4080,0.7
1453937789758631946,2021-10-29 04:12:36+00:00,51453,3856,0.35
1453777776398376993,2021-10-28 17:36:46+00:00,11098,956,0.0
1453598974343012353,2021-10-28 05:46:16+00:00,14202,1045,0.19999999999999998
1453481950052700161,2021-10-27 22:01:15+00:00,57353,6222,0.0
1453461178672312322,2021-10-27 20:38:43+00:00,6955,532,0.0
1453461169889366016,2021-10-27 20:38:41+00:00,48861,4967,-0.3
1453363990462013443,2021-10-27 14:12:32+00:00,20628,2074,-0.3
1452062147479883776,2021-10-23 23:59:28+00:00,135535,22479,0.0
1451350259729420288,2021-10-22 00:50:41+00:00,79769,9305,0.12083333333333333
1448408547495084032,2021-10-13 22:01:22+00:00,47199,4022,0.0
1444327044838412293,2021-10-02 15:42:56+00:00,16347,1369,0.0
1443939567988469765,2021-10-01 14:03:14+00:00,22962,2640,-0.15555555555555559
1443772408360407044,2021-10-01 02:59:00+00:00,4767,274,0.0
1443772405772476417,2021-10-01 02:59:00+00:00,12976,975,0.5
1443763211078025216,2021-10-01 02:22:28+00:00,5088,286,0.0
1443763209337409554,2021-10-01 02:22:27+00:00,8735,478,0.0
1443564831932514309,2021-09-30 13:14:10+00:00,14900,798,0.5
1443257327163826177,2021-09-29 16:52:15+00:00,25842,3471,0.19318181818181818
1441190509578375169,2021-09-23 23:59:28+00:00,43332,4549,0.5
1439377177112244226,2021-09-18 23:53:56+00:00,29217,3703,0.125
1439365668952940545,2021-09-18 23:08:12+00:00,106325,16481,0.4
1439364761263689729,2021-09-18 23:04:35+00:00,26131,1114,0.16666666666666666
1439364489351155715,2021-09-18 23:03:31+00:00,8369,467,0.0
1439359168633204737,2021-09-18 22:42:22+00:00,11384,779,0.0
1439358797340884992,2021-09-18 22:40:53+00:00,7127,452,-0.1
1439357127802376196,2021-09-18 22:34:15+00:00,8478,564,0.1
1439353446407163912,2021-09-18 22:19:38+00:00,12581,656,0.0
1439351768563863558,2021-09-18 22:12:58+00:00,13430,646,0.0
1439349097463304195,2021-09-18 22:02:21+00:00,8784,2382,0.0
1439341362751496194,2021-09-18 21:31:37+00:00,25492,2385,0.0
1439339388329082880,2021-09-18 21:23:46+00:00,7110,523,0.7
